op mysql post
INSERT 0.000301122665405 0.0362718105316
INSERT 0.122403860092 0.0691390037537
INSERT 0.000257015228271 0.00172400474548
INSERT 0.0016028881073 0.0206589698792
INSERT 0.0480089187622 0.0987269878387
INSERT 0.00151014328003 0.0551218986511
INSERT 0.000627040863037 0.114296913147
INSERT 0.0196669101715 0.0445001125336
INSERT 0.000421047210693 0.0150480270386
INSERT 0.000423908233643 0.0551180839539
INSERT 0.000195980072021 0.111102104187
INSERT 0.000282049179077 0.138776063919
INSERT 0.00184011459351 0.000949859619141
INSERT 0.000411033630371 0.0391290187836
INSERT 0.0107758045197 0.0652840137482
INSERT 0.000970125198364 0.0496098995209
INSERT 0.000120878219604 0.261597156525
INSERT 0.000303030014038 0.0742650032043
INSERT 0.00181102752686 0.0571980476379
INSERT 0.0905990600586 0.39296412468
INSERT 0.0120389461517 0.128298044205
INSERT 0.000163078308105 0.00591206550598
INSERT 0.000579118728638 0.036239862442
INSERT 0.000298023223877 0.0694899559021
DELETE 0.00108695030212 0.0382881164551
DELETE 0.0614728927612 0.00923204421997
DELETE 0.0533590316772 0.0545251369476
DELETE 0.104459047318 0.0623548030853
DELETE 0.0261371135712 0.0273928642273
DELETE 0.000193119049072 0.0884099006653
DELETE 0.000824928283691 0.0454030036926
DELETE 0.0177359580994 0.262153148651
DELETE 0.00313806533813 0.00670695304871
DELETE 0.0295059680939 0.00968098640442
DELETE 0.158982992172 0.637438058853
DELETE 0.00317597389221 0.0948901176453
DELETE 0.00313091278076 0.0646121501923
DELETE 0.000216960906982 0.035817861557
DELETE 0.0260331630707 0.0168759822845
DELETE 0.010498046875 0.169592142105
DELETE 0.0124609470367 0.0452001094818
DELETE 0.000991106033325 0.116744995117
DELETE 0.0065381526947 0.00991487503052
DELETE 0.00031590461731 0.025778055191
DELETE 0.0169470310211 0.0569951534271
DELETE 0.00565814971924 0.0162839889526
DELETE 0.000918865203857 0.0518450737
DELETE 0.000224828720093 0.00125908851624
DELETE 0.0031590461731 0.0366609096527
DELETE 0.000908136367798 0.0509829521179
DELETE 0.000649929046631 0.0576601028442
DELETE 0.00542712211609 0.0292069911957
DELETE 0.32486987114 0.731292963028
DELETE 0.000137090682983 0.0601768493652
DELETE 0.00340795516968 0.0961618423462
DELETE 0.00265598297119 0.0906970500946
DELETE 0.000850915908813 0.074422121048
DELETE 0.00327301025391 0.0386440753937
DELETE 0.000229120254517 0.00525999069214
DELETE 0.00075101852417 0.0326690673828
DELETE 0.00110197067261 0.0478141307831
DELETE 0.0031099319458 0.100723028183
DELETE 0.000327110290527 0.0147640705109
DELETE 0.00127482414246 0.405682086945
DELETE 0.00346803665161 0.125478029251
UPDATE 0.0728409290314 0.164508104324
UPDATE 0.0286619663239 0.271209001541
UPDATE 0.0738890171051 0.0412809848785
UPDATE 0.0189180374146 0.109370946884
UPDATE 0.022754907608 0.109641075134
UPDATE 0.122617006302 1.20092606544
UPDATE 0.0153920650482 0.0419669151306
UPDATE 0.000128984451294 0.0554358959198
UPDATE 0.0954310894012 0.397333860397
UPDATE 0.000687122344971 0.00446701049805
UPDATE 0.012610912323 0.0617339611053
UPDATE 0.000312089920044 0.00172996520996
UPDATE 0.000727891921997 0.0597851276398
UPDATE 0.000292062759399 0.0227558612823
UPDATE 0.000639915466309 0.00304794311523
UPDATE 0.00026798248291 0.23982000351
UPDATE 0.000272989273071 0.117916107178
UPDATE 0.0134229660034 0.0422110557556
UPDATE 0.147976875305 0.482715129852
UPDATE 0.000220060348511 0.137423992157
UPDATE 0.00262498855591 0.0723431110382
UPDATE 0.0390610694885 0.0256509780884
UPDATE 0.0109629631042 0.0226430892944
UPDATE 0.0110580921173 0.0934898853302
UPDATE 0.0129318237305 0.078428030014
UPDATE 0.000243902206421 0.00289511680603
UPDATE 0.0224061012268 0.0702049732208
UPDATE 0.000466108322144 0.0207569599152
UPDATE 0.0121519565582 0.114750146866
SELECT 0.000200033187866 0.00633502006531
SELECT 0.00290203094482 0.00811505317688
SELECT 0.000295162200928 0.0173177719116
SELECT 0.00719285011292 0.0917680263519
SELECT 0.00330591201782 0.00573706626892
SELECT 0.00294399261475 0.0712912082672
SELECT 0.0751850605011 0.128707885742
SELECT 0.00324082374573 0.0161280632019
SELECT 0.000290155410767 0.0443189144135
SELECT 0.0358219146729 0.0693120956421
SELECT 0.494740962982 0.234166145325
SELECT 0.00114607810974 0.0355761051178
SELECT 0.00534605979919 0.00591206550598
SELECT 0.0417120456696 0.193059921265
SELECT 0.006756067276 0.0580110549927
SELECT 0.0157940387726 0.0373740196228
SELECT 0.00324702262878 0.0245950222015
SELECT 0.0414140224457 0.00715398788452
SELECT 0.000134944915771 0.000853061676025
SELECT 0.000162839889526 0.0611140727997
SELECT 0.000472068786621 0.00359082221985
SELECT 0.0299198627472 0.0807240009308
SELECT 0.0422060489655 0.25891494751
SELECT 0.000202894210815 0.0268409252167
SELECT 0.000798940658569 0.0234191417694
SELECT 0.000232219696045 0.000726938247681
SELECT 0.000524044036865 0.00134992599487
SELECT 0.0133140087128 0.0111320018768
SELECT 0.015704870224 0.00370001792908
SELECT 0.00141406059265 0.110132932663
SELECT 0.000117063522339 0.0012481212616
SELECT 0.00272703170776 0.110683917999
SELECT 0.0550010204315 0.0268261432648
SELECT 9.79900360107e-05 0.12894821167
SELECT 0.00293588638306 0.025398015976
SELECT 0.0735482648427 NA
